id	common_name	scientific_name	ebird_code
brd_01jzvcg800vbr15gsfc98219bv	Brent goose	Branta bernicla	brant
brd_01jzvcg801t7xba70nrff0vftr	Red-breasted goose	Branta ruficollis	rebgoo1
brd_01jzvcg802ek622fxhc5mqe50s	Canada goose	Branta canadensis	cangoo
brd_01jzvcg803fm4rmrdex90rny57	Barnacle goose	Branta leucopsis	bargoo
brd_01jzvcg8048v3nax9fc68m94hr	Cackling goose	Branta hutchinsii	cacgoo1
brd_01jzvcg805ngwy963hcgy2v3r7	Ross's goose	Anser rossii	rosgoo
brd_01jzvcg806aa2mwx81j3k54ttt	Snow goose	Anser caerulescens	snogoo
brd_01jzvcg807x5pqvbj7d81m3gnh	Greylag goose	Anser anser	gragoo
brd_01jzvcg808pbm07jehx7vzz6na	Taiga bean goose	Anser fabalis	taibeg1
brd_01jzvcg809x7ax3cch42za9ar3	Pink-footed goose	Anser brachyrhynchus	pifgoo
brd_01jzvcg80ahx449v16re2ame0c	Tundra bean goose	Anser serrirostris	tunbeg1
brd_01jzvcg80bsbvt392f4nmf86jg	White-fronted goose	Anser albifrons	gwfgoo
brd_01jzvcg80cs7pyyc833jwtjmnx	Lesser white-fronted goose	Anser erythropus	lwfgoo
brd_01jzvcg80d9m61d8swq4vkjn93	Mute swan	Cygnus olor	mutswa
brd_01jzvcg80esbyt63mhm5k7yynp	Bewick's swan	Cygnus columbianus	tunswa
brd_01jzvcg80fp28hvehbdndqcbne	Whooper swan	Cygnus cygnus	whoswa
brd_01jzvcg80gnghf25bw5hpaz1rb	Egyptian goose	Alopochen aegyptiaca	egygoo
brd_01jzvcg80h7b0g9ejp3mfycq2h	Shelduck	Tadorna tadorna	comshe
brd_01jzvcg80jvdrwjh3vn7aw0567	Ruddy shelduck	Tadorna ferruginea	rudshe
brd_01jzvcg80k0ryqykkt8tdcb6c1	Mandarin duck	Aix galericulata	manduc
brd_01jzvcg80m1n3j11bapj7g94mb	Baikal teal	Sibirionetta formosa	baitea
brd_01jzvcg80n3a2gnv384nyw8g5v	Garganey	Spatula querquedula	gargan
brd_01jzvcg80pmfbvsa98vxq107ft	Blue-winged teal	Spatula discors	buwtea
brd_01jzvcg80q229r01ndaedry89d	Shoveler	Spatula clypeata	norsho
brd_01jzvcg80ryt6twasspeama3ze	Gadwall	Mareca strepera	gadwal
brd_01jzvcg80s5jzn76bcjhv3873k	Falcated duck	Mareca falcata	falduc
brd_01jzvcg80t1s21nxc7xw91cyt7	Wigeon	Mareca penelope	eurwig
brd_01jzvcg80v4brg8a9ddhahayt1	American wigeon	Mareca americana	amewig
brd_01jzvcg80w912dy0mnan794wcv	Mallard	Anas platyrhynchos	mallar3
brd_01jzvcg80xcfb4spwpvez3rfeh	Black duck	Anas rubripes	ambduc
brd_01jzvcg80yqyqa5zyh6dbch65c	Pintail	Anas acuta	norpin
brd_01jzvcg80z7qxy12jt84csn5rv	Teal	Anas crecca	gnwtea
brd_01jzvcg810hp9xchvqnb18c6qa	Green-winged teal	Anas carolinensis	
brd_01jzvcg8111eg29bdzqt96rn8h	Red-crested pochard	Netta rufina	recpoc
brd_01jzvcg812b9rycm7ram4ayj29	Canvasback	Aythya valisineria	canvas
brd_01jzvcg813kjww99knff4xxk1y	Redhead	Aythya americana	redhea
brd_01jzvcg8143xpk5p33ky9vdxdf	Pochard	Aythya ferina	compoc
brd_01jzvcg815azwfxa4gdgpapehw	Ferruginous duck	Aythya nyroca	ferduc
brd_01jzvcg8165y3rrqm4asw5843j	Ring-necked duck	Aythya collaris	rinduc
brd_01jzvcg8170381dgb7c7x068vd	Tufted duck	Aythya fuligula	tufduc
brd_01jzvcg818hfve0yr60ap7tbep	Scaup	Aythya marila	gresca
brd_01jzvcg819kwzev2tra1vn13pt	Lesser scaup	Aythya affinis	lessca
brd_01jzvcg81aep43mzq7aw4n228h	Steller's eider	Polysticta stelleri	steeid
brd_01jzvcg81b6bfxxkz1wzxxm8rw	King eider	Somateria spectabilis	kineid
brd_01jzvcg81c4w7g9qr8f11ywznw	Eider	Somateria mollissima	comeid
brd_01jzvcg81d5gwg5n6bqmfnhsvd	Harlequin duck	Histrionicus histrionicus	harduc
brd_01jzvcg81esf5t574r9v7b95vj	Surf scoter	Melanitta perspicillata	sursco
brd_01jzvcg81fh29h3d9bxzmtqb7h	Velvet scoter	Melanitta fusca	whwsco3
brd_01jzvcg81gjdk156at9kcy14g0	White-winged scoter	Melanitta deglandi	whwsco2
brd_01jzvcg81hq8j52ws7bqnezc4x	Stejneger's scoter	Melanitta stejnegeri	whwsco1
brd_01jzvcg81j7t6sbv1n062j4b8d	Common scoter	Melanitta nigra	blksco1
brd_01jzvcg81k51e8382d43cgnwj6	Black scoter	Melanitta americana	blksco2
brd_01jzvcg81m6add51z8bp6dzc7d	Long-tailed duck	Clangula hyemalis	lotduc
brd_01jzvcg81nb7cj21m83ngbrjd5	Bufflehead	Bucephala albeola	buffle
brd_01jzvcg81p028dsyq8gxt4kr19	Goldeneye	Bucephala clangula	comgol
brd_01jzvcg81q9sw5akwed0w6v3g1	Barrow's goldeneye	Bucephala islandica	bargol
brd_01jzvcg81rjtfzyfwwrh311f15	Smew	Mergellus albellus	smew
brd_01jzvcg81s3px9rmj262ykvbvc	Hooded merganser	Lophodytes cucullatus	hoomer
brd_01jzvcg81tew7gczhyh20bvf5g	Goosander	Mergus merganser	commer
brd_01jzvcg81v0pbycw5x13kvz33q	Red-breasted merganser	Mergus serrator	rebmer
brd_01jzvcg81w4cfctw75wr259eh2	Ruddy duck	Oxyura jamaicensis	rudduc
brd_01jzvcg81xp3b2kakmakpdnb93	Red grouse	Lagopus scotica	wilpta1
brd_01jzvcg81yw5p3gww101e0mh5g	Ptarmigan	Lagopus muta	rocpta1
brd_01jzvcg81z4kwjh9e0fq321man	Capercaillie	Tetrao urogallus	wescap1
brd_01jzvcg8202g6fhrr6tqnj1qk1	Black grouse	Lyrurus tetrix	blagro1
brd_01jzvcg821c51aj46mc7atq9wp	Grey partridge	Perdix perdix	grypar
brd_01jzvcg822hzyzfe5mgpz0vhfv	Golden pheasant	Chrysolophus pictus	golphe
brd_01jzvcg823wfpqcwcaz3msxwty	Lady Amherst's pheasant	Chrysolophus amherstiae	laaphe1
brd_01jzvcg824qq1wrp431gr6f1va	Pheasant	Phasianus colchicus	rinphe1
brd_01jzvcg825y0xv8kczqeev8xa3	Quail	Coturnix coturnix	comqua1
brd_01jzvcg826jddecqy129cj33m1	Red-legged partridge	Alectoris rufa	relpar1
brd_01jzvcg827xsgpcz763ph7a7zc	Common nighthawk	Chordeiles minor	comnig
brd_01jzvcg828xjy057nsf6yjy3zv	Red-necked nightjar	Caprimulgus ruficollis	rennig1
brd_01jzvcg829y878ht9n84gszxvt	Nightjar	Caprimulgus europaeus	eurnig1
brd_01jzvcg82an60086ghkvjg2ffk	Egyptian nightjar	Caprimulgus aegyptius	egynig1
brd_01jzvcg82b012ramvy5mv4qxzq	White-throated needletail	Hirundapus caudacutus	whtnee
brd_01jzvcg82c7c7kcm4h9wcbt10m	Chimney swift	Chaetura pelagica	chiswi
brd_01jzvcg82dsdqcnc8jqgzmrkj4	Alpine swift	Tachymarptis melba	alpswi1
brd_01jzvcg82exwf9f0jq1cbj9ve5	Swift	Apus apus	comswi
brd_01jzvcg82fe5k385s2ahz40mv0	Pallid swift	Apus pallidus	palswi3
brd_01jzvcg82gmmt7x396zqcy1tpn	Pacific swift	Apus pacificus	fotswi
brd_01jzvcg82h85dt8ctx2qshehmy	Little swift	Apus affinis	litswi1
brd_01jzvcg82j67zzhgpqyy40e7xx	White-rumped swift	Apus caffer	whrswi1
brd_01jzvcg82ke6n3fhr6crnzzrxc	Great bustard	Otis tarda	grebus1
brd_01jzvcg82mdwc5vkv1j1ewzhyz	MacQueen's bustard	Chlamydotis macqueenii	macbus1
brd_01jzvcg82n4g3g9hbtz6amz4tx	Little bustard	Tetrax tetrax	litbus1
brd_01jzvcg82pvybxgbfjv7bzmf1x	Great spotted cuckoo	Clamator glandarius	grscuc1
brd_01jzvcg82qd41axcpp71h3549v	Yellow-billed cuckoo	Coccyzus americanus	yebcuc
