id	geonames_id	name	latitude	longitude	population	feature_code
plc_01m0n2yy0evz1vnmzg9h0xb43h	146839	Akrotiri	34.60088	32.95536	684	PPL
plc_01m0n2yy0evz1vnmzg9kk07nv3	2633326	Zeals	51.08558	-2.3123	658	PPL
plc_01m0n2yy0evz1vnmzg9ntpx7tt	2633337	Ystalyfera	51.76716	-3.78082	10218	PPL
plc_01m0n2yy0evz1vnmzg9sd385qv	2633344	Yoxford	52.26819	1.50681	726	PPL
plc_01m0n2yy0evz1vnmzg9vv748rb	2633345	Yoxall	52.76659	-1.79068	1638	PPL
plc_01m0n2yy0evz1vnmzg9ysgqaq8	2633346	Youlgreave	53.17399	-1.69044	1018	PPL
plc_01m0n2yy0evz1vnmzg9zxvr49p	2633352	York	53.95763	-1.08271	156135	PPLA2
plc_01m0n2yy0evz1vnmzga2008g9q	2633366	Yetminster	50.89579	-2.57959	1105	PPL
plc_01m0n2yy0evz1vnmzga5qwkz18	2633373	Yeovil	50.94159	-2.63211	50176	PPL
plc_01m0n2yy0evz1vnmzga6t25svp	2633382	Yelverton	50.4929	-4.08382	3627	PPL
plc_01m0n2yy0evz1vnmzga8d671rt	2633383	Yelvertoft	52.37335	-1.12154	764	PPL
plc_01m0n2yy0evz1vnmzgaafcvstd	2633394	Yealmpton	50.34856	-3.99877	1677	PPL
plc_01m0n2yy0evz1vnmzgac0pnfgk	2633397	Yeadon	53.86437	-1.68743	37379	PPL
plc_01m0n2yy0evz1vnmzgadzb9vf3	2633399	Yaxley	52.51768	-0.25852	9174	PPL
plc_01m0n2yy0evz1vnmzgahxzy0ng	2633402	Yatton Keynell	51.48612	-2.19337	825	PPL
plc_01m0n2yy0evz1vnmzgaj4jnqh5	2633404	Yatton	51.38839	-2.82353	10251	PPLA3
plc_01m0n2yy0evz1vnmzgajgmh52h	2633406	Yate	51.54074	-2.41839	23703	PPL
plc_01m0n2yy0evz1vnmzgan9mn952	2633412	Yarnton	51.80448	-1.31149	2545	PPL
plc_01m0n2yy0evz1vnmzgapkaerwe	2633414	Yarmouth	50.70529	-1.49929	912	PPLA3
plc_01m0n2yy0evz1vnmzgarq9nev4	2633415	Yarm	54.50364	-1.35793	19184	PPLA3
plc_01m0n2yy0evz1vnmzgatgzg3t2	2633418	Yardley Hastings	52.2055	-0.73488	745	PPL
plc_01m0n2yy0evz1vnmzgavc8qqra	2633422	Yapton	50.8209	-0.613	5459	PPL
plc_01m0n2yy0evz1vnmzgawd97kj3	2633424	Yalding	51.22387	0.4292	1365	PPLA4
plc_01m0n2yy0evz1vnmzgb027qf99	2633445	Wymondham	52.75978	-0.74055	500	PPLA4
plc_01m0n2yy0evz1vnmzgb3fr4mf7	2633448	Wymeswold	52.80536	-1.11288	1296	PPL
plc_01m0n2yy0evz1vnmzgb6yh7g1g	2633453	Wylam	54.97654	-1.82187	1412	PPL
plc_01m0n2yy0evz1vnmzgb9sw0nvc	2633460	Wye	51.18249	0.93678	1915	PPL
plc_01m0n2yy0evz1vnmzgbd99paga	2633466	Wybunbury	53.04542	-2.45207	854	PPL
plc_01m0n2yy0evz1vnmzgbdzkbkkj	2633474	Wroxall	52.33791	-1.66898	1927	PPL
plc_01m0n2yy0evz1vnmzgbe8pbns7	2633475	Wroxall	50.61625	-1.22292	1753	PPL
plc_01m0n2yy0evz1vnmzgbep71c4k	2633476	Wroughton	51.52411	-1.79559	6474	PPL
plc_01m0n2yy0evz1vnmzgbf5hnmy1	2633478	Wrotham	51.30856	0.30899	1921	PPL
plc_01m0n2yy0evz1vnmzgbgrs88ga	2633481	Writtle	51.72906	0.42938	4840	PPL
plc_01m0n2yy0evz1vnmzgbkgxaat2	2633482	Wrington	51.36173	-2.76319	1918	PPL
plc_01m0n2yy0evz1vnmzgbmr7ew30	2633485	Wrexham	53.04664	-2.99132	65692	PPLA2
plc_01m0n2yy0evz1vnmzgbnq39x1j	2633486	Wrestlingworth	52.11041	-0.16342	591	PPL
plc_01m0n2yy0evz1vnmzgbqvyfaaz	2633488	Wrentham	52.38367	1.66692	830	PPLA4
plc_01m0n2yy0evz1vnmzgbqwxnxk3	2633495	Wrea Green	53.77651	-2.91573	1373	PPL
plc_01m0n2yy0evz1vnmzgbtk3rpwa	2633499	Wrawby	53.56672	-0.46194	1469	PPL
plc_01m0n2yy0evz1vnmzgby0vqqgh	2633501	Wrangle	53.03935	0.12989	887	PPL
plc_01m0n2yy0evz1vnmzgc12hvvtc	2633504	Wragby	53.28333	-0.3	1768	PPL
plc_01m0n2yy0evz1vnmzgc16dj8w3	2633508	Wouldham	51.34986	0.45816	1253	PPL
plc_01m0n2yy0evz1vnmzgc4eq9djr	2633511	Wotton-under-Edge	51.63242	-2.34512	5627	PPL
plc_01m0n2yy0evz1vnmzgc5vmjzc8	2633513	Worton	51.31611	-2.04111	624	PPLA3
plc_01m0n2yy0evz1vnmzgc834r1md	2633521	Worthing	50.81795	-0.37538	113866	PPL
plc_01m0n2yy0evz1vnmzgc8pzcrmy	2633525	Worth	51.25633	1.3484	634	PPL
plc_01m0n2yy0evz1vnmzgcazsgyzh	2633540	Worminghall	51.77043	-1.07365	534	PPL
plc_01m0n2yy0evz1vnmzgcegq6qfy	2633544	Worlingworth	52.26912	1.25383	802	PPL
plc_01m0n2yy0evz1vnmzgcj4mmnf2	2633545	Worlington	52.33505	0.48748	526	PPL
plc_01m0n2yy0evz1vnmzgcm68xf5h	2633549	Worlaby	53.6113	-0.46685	547	PPLA3
plc_01m0n2yy0evz1vnmzgcpnc6vhw	2633551	Worksop	53.30182	-1.12404	44733	PPL
